--- STARTED NEW SESSION ---
Frame 0000 -> Crop: 0.02ms | Resize: 0.71ms | Bright: 1.89ms | Contrast: 124.13ms | Blur: 0.11ms | HSV Conv: 0.07ms | Total Preprocess: 126.93ms
Frame 0001 -> Crop: 0.06ms | Resize: 0.35ms | Bright: 0.43ms | Contrast: 0.90ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
Frame 0002 -> Crop: 0.07ms | Resize: 0.35ms | Bright: 0.41ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.87ms
Frame 0003 -> Crop: 0.06ms | Resize: 0.30ms | Bright: 0.38ms | Contrast: 0.79ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.70ms
Frame 0004 -> Crop: 0.08ms | Resize: 0.48ms | Bright: 0.41ms | Contrast: 0.89ms | Blur: 0.10ms | HSV Conv: 0.11ms | Total Preprocess: 2.08ms
Frame 0005 -> Crop: 0.07ms | Resize: 0.39ms | Bright: 0.40ms | Contrast: 0.77ms | Blur: 0.17ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0006 -> Crop: 0.06ms | Resize: 0.34ms | Bright: 0.38ms | Contrast: 0.83ms | Blur: 0.09ms | HSV Conv: 0.10ms | Total Preprocess: 1.81ms
Frame 0007 -> Crop: 0.06ms | Resize: 0.39ms | Bright: 0.46ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.92ms
Frame 0008 -> Crop: 0.08ms | Resize: 0.46ms | Bright: 0.41ms | Contrast: 0.82ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.93ms
Frame 0009 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.39ms | Contrast: 0.81ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.72ms
Frame 0010 -> Crop: 0.06ms | Resize: 0.36ms | Bright: 0.44ms | Contrast: 0.85ms | Blur: 0.09ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
