--- STARTED NEW SESSION ---
Frame 0000 -> Crop: 0.03ms | Resize: 1.91ms | Bright: 5.07ms | Contrast: 122.67ms | Blur: 1.26ms | HSV Conv: 0.11ms | Total Preprocess: 131.04ms
Frame 0001 -> Crop: 0.07ms | Resize: 0.39ms | Bright: 0.50ms | Contrast: 1.02ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 2.17ms
Frame 0002 -> Crop: 0.91ms | Resize: 0.33ms | Bright: 0.34ms | Contrast: 0.66ms | Blur: 0.07ms | HSV Conv: 0.08ms | Total Preprocess: 2.39ms
Frame 0003 -> Crop: 0.06ms | Resize: 0.29ms | Bright: 0.34ms | Contrast: 0.80ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.65ms
Frame 0004 -> Crop: 0.12ms | Resize: 0.31ms | Bright: 0.41ms | Contrast: 0.93ms | Blur: 0.11ms | HSV Conv: 0.11ms | Total Preprocess: 1.99ms
Frame 0005 -> Crop: 0.06ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.95ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0006 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.45ms | Contrast: 0.78ms | Blur: 0.23ms | HSV Conv: 0.10ms | Total Preprocess: 1.94ms
Frame 0007 -> Crop: 0.10ms | Resize: 0.42ms | Bright: 0.37ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0008 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.42ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.82ms
Frame 0009 -> Crop: 0.06ms | Resize: 0.34ms | Bright: 0.40ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.20ms | Total Preprocess: 1.93ms
Frame 0010 -> Crop: 0.05ms | Resize: 0.43ms | Bright: 0.41ms | Contrast: 0.90ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.95ms
Frame 0011 -> Crop: 0.06ms | Resize: 0.37ms | Bright: 0.44ms | Contrast: 0.91ms | Blur: 0.09ms | HSV Conv: 0.12ms | Total Preprocess: 2.00ms
Frame 0012 -> Crop: 0.07ms | Resize: 0.33ms | Bright: 0.44ms | Contrast: 0.82ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.82ms
Frame 0013 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.86ms | Blur: 0.09ms | HSV Conv: 0.09ms | Total Preprocess: 1.81ms
Frame 0014 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.80ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.71ms
